E-id,Archival_Culture_Name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Notes
433,GOAJIRO,1,2,0,0,0,0,0,0,0,1,0,1,
434,GOAJIRO,1,2,6,5,0,0,0,0,0,1,0,1,
435,GOAJIRO,1,2,1,5,0,0,0,0,0,1,0,1,
436,GOAJIRO,1,2,1,5,1,10,0,0,2,5,6,2,
144,GOND,1,2,1,5,2,6,10,0,0,0,1,1,
145,GOND,1,1,3,5,1,10,0,0,0,0,14,2,
146,GOND,1,3,1,5,2,5,10,0,0,0,4,2,
147,GOND,1,2,5,1,1,10,0,0,0,0,10,1,
245,HAITI,1,1,1,5,3,7,10,11,0,1,4,1,
246,HAITI,1,4,1,0,2,1,10,0,0,1,1,1,
247,HAITI,1,1,2,0,2,1,10,0,0,1,5,3,
264,HAITI,1,2,7,4,1,15,0,0,2,6,3,2,
18,HANUNOO,1,2,4,2,1,10,0,0,4,0,8,2,
19,HANUNOO,1,1,5,1,1,15,0,0,4,0,1,1,
20,HANUNOO,1,4,0,0,1,1,0,0,3,2,1,1,
21,HANUNOO,1,1,5,0,1,15,0,0,4,0,1,1,
22,HANUNOO,1,1,1,0,1,15,4,0,0,1,1,1,
23,HANUNOO,1,1,5,2,2,16,10,0,4,0,2,1,
24,HANUNOO,1,2,5,1,1,15,0,0,4,0,2,1,
25,HANUNOO,1,1,5,1,1,15,0,0,0,1,2,1,
26,HANUNOO,1,1,7,3,2,4,11,0,4,0,1,1,
27,HANUNOO,1,2,7,3,3,4,15,16,0,1,2,2,
28,HANUNOO,1,2,6,3,2,11,15,0,0,1,8,1,
29,HANUNOO,1,1,6,3,4,6,11,15,4,0,3,1,
30,HANUNOO,1,1,1,5,2,4,15,0,3,3,1,1,
497,HAUSA,1,1,1,5,2,8,15,0,4,0,6,2,
498,HAUSA,1,2,1,5,2,10,7,0,0,0,1,1,
499,HAUSA,1,2,1,5,1,14,0,0,0,1,1,1,
500,HAUSA,1,2,1,5,1,1,0,0,0,0,1,1,
501,HAUSA,1,2,1,5,1,1,0,0,0,0,1,1,
502,HAUSA,1,1,1,5,2,1,14,0,0,1,0,1,
503,HAUSA,1,2,1,5,2,14,8,0,0,0,1,1,
504,HAUSA,1,2,5,1,1,5,0,0,1,6,5,1,
505,HAUSA,1,1,3,3,1,3,0,0,1,1,3,2,
506,HAUSA,1,1,1,5,3,1,15,16,2,6,1,1,
507,HAUSA,1,2,1,5,1,9,0,0,0,0,1,1,
508,HAUSA,1,2,1,5,1,1,0,0,3,1,3,1,
509,HAUSA,1,1,1,5,1,15,0,0,1,2,1,1,
510,HAUSA,1,1,1,5,2,8,14,0,0,0,1,1,
511,HAUSA,1,1,5,1,1,11,0,0,0,1,4,1,
106,HAWAII,1,2,1,5,1,10,0,0,1,1,2,1,
107,HAWAII,1,2,0,0,1,10,0,0,2,5,6,1,
108,HAWAII,2,2,7,3,4,4,8,11,4,0,1,1,
109,HAWAII,2,3,1,5,3,4,8,16,0,0,1,1,
110,HAWAII,2,2,5,3,1,16,0,0,2,2,1,1,
111,HAWAII,2,1,1,5,2,1,10,0,2,4,5,1,
669,HEBREW,7,0,1,5,1,1,0,0,0,0,4,2,
670,HEBREW,8,0,4,2,2,11,10,0,2,1,1,2,
671,HEBREW,7,0,3,0,1,1,0,0,1,5,10,1,
672,HEBREW,7,0,3,0,1,1,0,0,1,5,16,1,
673,HEBREW,7,0,5,1,1,16,0,0,1,2,1,1,
674,HEBREW,7,0,1,5,1,1,0,0,1,0,13,4,
675,HEBREW,7,0,1,5,1,1,0,0,1,1,22,4,
676,HEBREW,7,0,1,0,1,1,0,0,1,1,13,3,
722,HUNGARY,5,0,0,0,1,10,0,0,0,0,4,2,
723,HUNGARY,2,1,1,5,3,10,11,7,0,1,1,1,
721,HUNGARY FOLK,5,3,0,0,1,2,0,0,0,1,2,2,
720,HUNGARY URBAN,0,1,2,0,0,0,0,0,0,2,7,4,
131,HUPA,1,4,2,0,1,2,0,0,2,2,1,1,
132,HUPA,1,4,3,0,1,3,0,0,2,5,14,1,
307,IBAN,1,2,1,5,3,11,10,16,3,1,4,2,
308,IBAN,1,2,1,5,2,15,16,0,0,0,1,1,
309,IBAN,1,2,1,5,2,11,16,0,3,6,6,2,
310,IBAN,1,2,1,0,1,8,0,0,2,4,1,1,
311,IBAN,1,2,1,5,1,15,0,0,0,0,1,1,
312,IBAN,1,2,1,5,2,16,5,0,0,0,1,1,
313,IBAN,1,2,3,3,1,15,0,0,0,0,1,1,
291,IRISH,1,2,2,0,3,16,15,10,0,1,1,1,
292,IRISH,5,2,3,3,3,10,11,16,3,6,1,1,
293,IRISH,4,2,3,3,3,10,11,16,2,6,6,3,
294,IRISH,1,2,3,3,3,15,11,10,3,2,1,1,
295,IRISH,1,2,2,0,3,10,11,16,0,1,2,2,
34,IROQUOIS,2,2,1,5,1,1,0,0,1,5,2,1,
35,IROQUOIS,1,3,1,5,1,2,0,0,1,5,13,1,
36,IROQUOIS,1,2,1,5,1,9,0,0,1,6,1,1,
37,IROQUOIS,3,2,1,5,1,2,0,0,1,6,5,2,
38,IROQUOIS,1,2,1,5,1,12,0,0,1,6,2,1,
39,IROQUOIS,1,2,2,0,1,10,0,0,1,6,7,2,
566,IT URBBAR,4,2,1,5,4,16,14,4,1,2,5,1,
567,IT URBBAR,4,1,2,3,4,16,10,14,2,4,1,1,
568,IT URBBAR,5,1,2,4,4,16,10,4,3,2,1,1,
